,código de videojuegos,genres,title,specs,price,release_year,sentiment_analysis
0,10,0,459,6,9.99,2000,2
1,20,0,2166,6,4.99,1999,0
2,30,0,529,6,4.99,2003,2
3,40,0,563,6,4.99,2001,2
4,50,0,1017,10,4.99,1999,2
5,60,0,1778,6,4.99,2000,0
6,70,0,1008,10,9.99,1998,2
7,80,0,461,10,9.99,2004,1
8,130,0,1016,10,4.99,2001,2
9,220,0,1009,10,9.99,2004,2
10,240,0,463,6,19.99,2004,2
11,280,0,1018,10,9.99,2004,2
12,300,0,530,6,9.99,2010,2
13,320,0,1010,6,4.99,2004,2
14,340,0,1013,10,0.0,2005,0
15,360,0,1015,6,9.99,2006,2
16,380,0,1011,10,7.99,2006,2
17,400,0,1645,10,9.99,2007,2
18,420,0,1012,10,7.99,2007,1
19,500,0,1228,10,19.99,2008,2
20,550,0,1229,10,19.99,2009,2
21,620,0,1646,10,19.99,2011,2
22,730,0,462,6,14.99,2012,2
23,1200,0,1744,6,9.99,2006,1
24,1250,0,1187,10,19.99,2009,2
25,1280,0,522,6,0.0,2009,2
26,1510,7,2467,10,9.99,2006,2
27,1520,7,569,10,9.99,2006,2
28,1670,13,1152,10,4.99,2006,0
29,1900,13,701,10,4.99,2006,2
30,1930,10,2429,10,9.99,2009,2
31,2100,0,512,10,9.99,2006,0
32,2200,0,1699,10,14.99,1999,2
33,2270,0,2564,10,4.99,1994,2
34,2280,0,2439,10,4.99,1995,0
35,2300,0,643,10,4.99,1994,2
36,2310,0,1698,10,4.99,2007,0
37,2400,0,2284,10,9.99,2006,2
38,2420,0,2286,10,9.99,2006,2
39,2450,0,275,10,4.99,2010,1
40,2500,0,1906,10,6.99,2006,2
41,2570,7,2493,10,0.0,2007,0
42,2590,0,92,10,4.99,2007,2
43,2600,0,2473,10,19.99,2004,1
44,2610,0,998,10,19.99,2005,2
45,2620,0,331,10,19.99,2003,2
46,2630,0,332,10,19.99,2005,1
47,2640,0,329,10,19.99,2004,2
48,2700,11,1817,10,19.99,2006,2
49,2820,0,2601,10,15.99,2008,2
50,2870,0,2593,10,29.99,2013,2
51,2990,9,849,10,9.99,2006,0
52,3050,9,2606,10,4.99,2006,2
53,3260,1,1851,10,4.99,2006,2
54,3320,4,1133,10,4.99,2006,2
55,3390,4,813,10,4.99,2006,1
56,3480,4,1594,10,4.99,2007,2
57,3483,4,1595,10,0.0,2007,1
58,3590,13,1629,10,4.99,2009,2
59,3620,0,2639,10,4.99,2009,2
60,3700,0,1970,10,7.99,2005,2
61,3710,0,1173,10,7.99,2005,0
62,3730,0,86,10,4.99,2000,2
63,3800,0,53,10,9.99,2005,2
64,3830,0,1687,10,9.99,2005,2
65,3900,13,1936,10,19.99,2005,2
66,3910,13,1935,10,4.99,2001,2
67,3920,10,1939,10,9.99,2005,0
68,4000,7,919,10,9.99,2006,1
69,4500,0,1847,10,19.99,2007,0
70,4560,0,434,10,19.99,2006,2
71,4570,13,2528,10,12.99,2006,2
72,4580,13,2527,10,12.99,2006,2
73,4700,13,1358,10,19.99,2006,0
74,4720,0,437,10,14.95,2006,2
75,4760,13,1819,10,9.99,2004,2
76,4850,13,456,10,4.99,2002,2
77,4920,0,1458,6,9.99,2012,2
78,6000,0,2055,10,9.99,2005,2
79,6020,0,2050,10,9.99,2003,0
80,6030,0,2052,10,9.99,2003,1
81,6060,0,2043,10,9.99,2005,2
82,6120,0,1912,10,9.99,2010,0
83,6220,9,848,10,7.49,2005,2
84,6310,0,2256,10,9.99,2000,2
85,6370,0,272,10,0.0,2011,2
86,6420,7,1483,10,9.99,2004,2
87,6550,0,603,10,19.99,2006,2
88,6800,0,432,10,4.99,1998,2
89,6830,0,431,10,4.99,2002,2
90,6850,0,1064,10,6.99,2002,0
91,6860,0,1066,10,8.99,2006,2
92,6870,0,214,10,6.99,2007,0
93,6880,0,1176,10,6.99,2006,2
94,6900,0,1067,10,6.99,2000,1
95,6910,0,595,10,6.99,2000,1
96,6980,0,2323,10,8.99,2004,2
97,7000,0,2370,10,6.99,2006,2
98,7020,0,1813,10,9.99,2006,2
99,7200,9,2389,10,29.99,2008,2
100,7510,0,2594,10,9.99,2009,2
101,7520,10,2430,10,19.99,2011,0
102,7660,13,2595,10,4.99,1997,0
103,7670,0,240,10,19.99,2007,2
104,7730,13,2597,10,4.99,1998,2
105,7760,13,2598,10,4.99,1993,2
106,7770,13,2596,10,4.99,2001,0
107,7830,13,1371,10,4.99,2009,0
108,7840,9,561,10,2.99,2009,1
109,7860,0,1466,10,4.99,2009,1
110,7940,0,333,10,19.99,2007,2
111,8000,0,2369,10,8.99,2007,2
112,8080,0,1181,10,6.99,2007,2
113,8170,0,213,10,8.99,2009,0
114,8190,0,1177,10,14.99,2010,2
115,8310,1,282,10,9.99,2005,2
116,8340,1,2099,10,19.99,2008,2
117,8400,4,931,10,3.99,2007,1
118,8500,0,755,6,0.0,2003,0
119,8600,9,1709,10,3.99,2007,1
120,8800,13,403,10,9.99,2007,2
121,8850,0,239,10,19.99,2010,2
122,8870,0,238,10,29.99,2013,2
123,8930,13,1937,10,29.99,2010,2
124,8970,7,181,10,4.99,2010,0
125,8980,0,284,10,19.99,2009,2
126,9050,0,640,10,4.99,2004,2
127,9070,0,641,10,2.99,2005,2
128,9160,0,1343,10,14.99,1995,0
129,9180,0,429,10,4.99,1990,0
130,9200,0,1715,10,9.99,2011,2
131,9350,13,2130,10,14.99,2007,2
132,9420,13,2132,10,14.99,2011,2
133,9450,13,2529,10,12.99,2008,2
134,9480,0,1853,10,9.99,2009,2
135,9500,7,937,10,9.99,2004,2
136,9730,11,2433,10,9.99,2006,1
137,9880,6,373,6,0.0,2009,2
138,9900,6,2042,6,0.0,2010,2
139,9930,9,2181,10,19.99,2011,2
140,9940,0,255,10,2.99,2010,1
141,10090,0,330,10,19.99,2008,2
142,10130,0,2340,10,19.99,2007,2
143,10140,12,14,10,9.99,2006,0
144,10150,0,1686,10,19.99,2009,1
145,10180,0,339,10,19.99,2009,1
146,10220,0,1653,10,11.99,2011,2
147,10500,13,724,10,19.99,2009,2
148,10680,0,87,10,14.99,2010,2
149,11020,9,2388,10,0.0,2008,2
150,11130,1,1922,10,0.0,2008,2
151,11140,1,1921,10,9.99,2008,2
152,11230,4,988,10,2.99,2008,0
153,11240,0,2004,10,4.99,2008,2
154,11260,11,1571,10,7.99,2007,0
155,11280,0,1597,10,5.99,2008,1
156,11330,4,1509,10,4.99,2009,2
157,11340,0,1223,10,4.99,2009,2
158,11360,7,371,10,4.99,2008,2
159,11390,0,466,10,9.99,2009,0
160,11450,10,1567,10,4.99,2007,1
161,11590,11,1077,10,4.99,2007,2
162,11610,0,654,10,0.0,2012,2
163,12100,0,960,10,9.99,2002,1
164,12110,0,964,10,9.99,2003,0
165,12120,0,963,10,14.99,2005,1
166,12130,0,1329,10,9.99,2004,0
167,12140,0,1348,10,9.99,2001,0
168,12150,0,1349,10,9.99,2003,1
169,12160,9,1387,10,9.99,2003,2
170,12200,0,311,10,14.99,2008,2
171,12220,0,962,10,19.99,2010,2
172,12330,0,525,10,9.99,2006,2
173,12360,9,851,10,19.99,2008,2
174,12430,4,1960,10,4.99,2009,0
175,12480,13,29,10,9.99,2009,1
176,12500,4,1694,10,9.99,2007,2
177,12590,9,2031,10,9.99,2008,2
178,12810,10,1565,10,9.99,2009,0
179,12830,0,1539,10,9.99,2009,2
180,12900,7,168,10,9.99,2008,2
181,13210,0,2462,10,19.99,2007,2
182,13230,0,2461,10,14.99,2004,2
