,Unnamed: 0,código de videojuegos,genres,title,specs,price,release_year,sentiment_analysis
0,0,10,action,counter-strike,Multi-player,9.99,2000,2
1,1,20,action,team fortress classic,Multi-player,4.99,1999,0
2,2,30,action,day of defeat,Multi-player,4.99,2003,2
3,3,40,action,deathmatch classic,Multi-player,4.99,2001,2
4,4,50,action,half-life: opposing force,Single-player,4.99,1999,2
5,5,60,action,ricochet,Multi-player,4.99,2000,0
6,6,70,action,half-life,Single-player,9.99,1998,2
7,7,80,action,counter-strike: condition zero,Single-player,9.99,2004,1
8,8,130,action,half-life: blue shift,Single-player,4.99,2001,2
9,9,220,action,half-life 2,Single-player,9.99,2004,2
10,10,240,action,counter-strike: source,Multi-player,19.99,2004,2
11,11,280,action,half-life: source,Single-player,9.99,2004,2
12,12,300,action,day of defeat: source,Multi-player,9.99,2010,2
13,13,320,action,half-life 2: deathmatch,Multi-player,4.99,2004,2
14,14,340,action,half-life 2: lost coast,Single-player,0.0,2005,0
15,15,360,action,half-life deathmatch: source,Multi-player,9.99,2006,2
16,16,380,action,half-life 2: episode one,Single-player,7.99,2006,2
17,17,400,action,portal,Single-player,9.99,2007,2
18,18,420,action,half-life 2: episode two,Single-player,7.99,2007,1
19,19,500,action,left 4 dead,Single-player,19.99,2008,2
20,20,550,action,left 4 dead 2,Single-player,19.99,2009,2
21,21,620,action,portal 2,Single-player,19.99,2011,2
22,22,730,action,counter-strike: global offensive,Multi-player,14.99,2012,2
23,23,1200,action,red orchestra: ostfront 41-45,Multi-player,9.99,2006,1
24,24,1250,action,killing floor,Single-player,19.99,2009,2
25,25,1280,action,darkest hour: europe 44-45,Multi-player,0.0,2009,2
26,26,1510,indie,uplink,Single-player,9.99,2006,2
27,27,1520,indie,defcon,Single-player,9.99,2006,2
28,28,1670,strategy,iron warriors: t - 72 tank command,Single-player,4.99,2006,0
29,29,1900,strategy,earth 2160,Single-player,4.99,2006,2
30,30,1930,rpg,two worlds epic edition,Single-player,9.99,2009,2
31,31,2100,action,dark messiah of might &amp; magic,Single-player,9.99,2006,0
32,32,2200,action,quake iii arena,Single-player,14.99,1999,2
33,33,2270,action,wolfenstein 3d,Single-player,4.99,1994,2
34,34,2280,action,ultimate doom,Single-player,4.99,1995,0
35,35,2300,action,doom ii,Single-player,4.99,1994,2
36,36,2310,action,quake,Single-player,4.99,2007,0
37,37,2400,action,the ship: murder party,Single-player,9.99,2006,2
38,38,2420,action,the ship: single player,Single-player,9.99,2006,2
39,39,2450,action,bloody good time,Single-player,4.99,2010,1
40,40,2500,action,shadowgrounds,Single-player,6.99,2006,2
41,41,2570,indie,vigil: blood bitterness™,Single-player,0.0,2007,0
42,42,2590,action,alpha prime,Single-player,4.99,2007,2
43,43,2600,action,vampire: the masquerade - bloodlines,Single-player,19.99,2004,1
44,44,2610,action,gun™,Single-player,19.99,2005,2
45,45,2620,action,call of duty®,Single-player,19.99,2003,2
46,46,2630,action,call of duty® 2,Single-player,19.99,2005,1
47,47,2640,action,call of duty: united offensive,Single-player,19.99,2004,2
48,48,2700,simulation,rollercoaster tycoon® 3: platinum,Single-player,19.99,2006,2
49,49,2820,action,x3: terran conflict,Single-player,15.99,2008,2
50,50,2870,action,x rebirth,Single-player,29.99,2013,2
51,51,2990,racing,flatout 2™,Single-player,9.99,2006,0
52,52,3050,racing,xpand rally xtreme,Single-player,4.99,2006,2
53,53,3260,adventure,safecracker: the ultimate puzzle adventure,Single-player,4.99,2006,2
54,54,3320,casual,insaniquarium deluxe,Single-player,4.99,2006,2
55,55,3390,casual,feeding frenzy 2 deluxe,Single-player,4.99,2006,1
56,56,3480,casual,peggle deluxe,Single-player,4.99,2007,2
57,57,3483,casual,peggle extreme,Single-player,0.0,2007,1
58,58,3590,strategy,plants vs. zombies goty edition,Single-player,4.99,2009,2
59,59,3620,action,zumas revenge!,Single-player,4.99,2009,2
60,60,3700,action,sniper elite,Single-player,7.99,2005,2
61,61,3710,action,judge dredd: dredd vs. death,Single-player,7.99,2005,0
62,62,3730,action,aliens versus predator classic 2000,Single-player,4.99,2000,2
63,63,3800,action,advent rising,Single-player,9.99,2005,2
64,64,3830,action,psychonauts,Single-player,9.99,2005,2
65,65,3900,strategy,sid meiers civilization® iv,Single-player,19.99,2005,2
66,66,3910,strategy,sid meiers civilization® iii complete,Single-player,4.99,2001,2
67,67,3920,rpg,sid meiers pirates!,Single-player,9.99,2005,0
68,68,4000,indie,garrys mod,Single-player,9.99,2006,1
69,69,4500,action,s.t.a.l.k.e.r.: shadow of chernobyl,Single-player,19.99,2007,0
70,70,4560,action,company of heroes - legacy edition,Single-player,19.99,2006,2
71,71,4570,strategy,"warhammer® 40,000: dawn of war® - game of the year edition",Single-player,12.99,2006,2
72,72,4580,strategy,"warhammer® 40,000: dawn of war® - dark crusade",Single-player,12.99,2006,2
73,73,4700,strategy,medieval ii: total war™,Single-player,19.99,2006,0
74,74,4720,action,condemned: criminal origins,Single-player,14.95,2006,2
75,75,4760,strategy,rome: total war™ - collection,Single-player,9.99,2004,2
76,76,4850,strategy,cossacks: back to war,Single-player,4.99,2002,2
77,77,4920,action,natural selection 2,Multi-player,9.99,2012,2
78,78,6000,action,star wars™ republic commando™,Single-player,9.99,2005,2
79,79,6020,action,star wars™ jedi knight - jedi academy™,Single-player,9.99,2003,0
80,80,6030,action,star wars™ jedi knight ii - jedi outcast™,Single-player,9.99,2003,1
81,81,6060,action,"star wars: battlefront 2 (classic,2005)",Single-player,9.99,2005,2
82,82,6120,action,shank,Single-player,9.99,2010,0
83,83,6220,racing,flatout,Single-player,7.49,2005,2
84,84,6310,action,the longest journey,Single-player,9.99,2000,2
85,85,6370,action,bloodline champions,Single-player,0.0,2011,2
86,86,6420,indie,nexus - the jupiter incident,Single-player,9.99,2004,2
87,87,6550,action,devil may cry® 3 special edition,Single-player,19.99,2006,2
88,88,6800,action,commandos: behind enemy lines,Single-player,4.99,1998,2
89,89,6830,action,commandos 2: men of courage,Single-player,4.99,2002,2
90,90,6850,action,hitman 2: silent assassin,Single-player,6.99,2002,0
91,91,6860,action,hitman: blood money,Single-player,8.99,2006,2
92,92,6870,action,battlestations: midway,Single-player,6.99,2007,0
93,93,6880,action,just cause,Single-player,6.99,2006,2
94,94,6900,action,hitman: codename 47,Single-player,6.99,2000,1
95,95,6910,action,deus ex: game of the year edition,Single-player,6.99,2000,1
96,96,6980,action,thief: deadly shadows,Single-player,8.99,2004,2
97,97,7000,action,tomb raider: legend,Single-player,6.99,2006,2
98,98,7020,action,rogue trooper,Single-player,9.99,2006,2
99,99,7200,racing,trackmania united forever star edition,Single-player,29.99,2008,2
100,100,7510,action,x-blades,Single-player,9.99,2009,2
101,101,7520,rpg,two worlds ii hd,Single-player,19.99,2011,0
102,102,7660,strategy,x-com: apocalypse,Single-player,4.99,1997,0
103,103,7670,action,bioshock™,Single-player,19.99,2007,2
104,104,7730,strategy,x-com: interceptor,Single-player,4.99,1998,2
105,105,7760,strategy,x-com: ufo defense,Single-player,4.99,1993,2
106,106,7770,strategy,x-com: enforcer,Single-player,4.99,2001,0
107,107,7830,strategy,men of war™,Single-player,4.99,2009,0
108,108,7840,racing,death track®: resurrection,Single-player,2.99,2009,1
109,109,7860,action,necrovision,Single-player,4.99,2009,1
110,110,7940,action,call of duty® 4: modern warfare®,Single-player,19.99,2007,2
111,111,8000,action,tomb raider: anniversary,Single-player,8.99,2007,2
112,112,8080,action,kane and lynch: dead men™,Single-player,6.99,2007,2
113,113,8170,action,battlestations pacific,Single-player,8.99,2009,0
114,114,8190,action,just cause 2,Single-player,14.99,2010,2
115,115,8310,adventure,bone: out from boneville,Single-player,9.99,2005,2
116,116,8340,adventure,strong bads cool game for attractive people: season 1,Single-player,19.99,2008,2
117,117,8400,casual,geometry wars: retro evolved,Single-player,3.99,2007,1
118,118,8500,action,eve online,Multi-player,0.0,2003,0
119,119,8600,racing,race 07,Single-player,3.99,2007,1
120,120,8800,strategy,civilization iv: beyond the sword,Single-player,9.99,2007,2
121,121,8850,action,bioshock® 2,Single-player,19.99,2010,2
122,122,8870,action,bioshock infinite,Single-player,29.99,2013,2
123,123,8930,strategy,sid meiers civilization® v,Single-player,29.99,2010,2
124,124,8970,indie,axel &amp; pixel,Single-player,4.99,2010,0
125,125,8980,action,borderlands,Single-player,19.99,2009,2
126,126,9050,action,doom 3,Single-player,4.99,2004,2
127,127,9070,action,doom 3 resurrection of evil,Single-player,2.99,2005,2
128,128,9160,action,master levels for doom ii,Single-player,14.99,1995,0
129,129,9180,action,commander keen,Single-player,4.99,1990,0
130,130,9200,action,rage,Single-player,9.99,2011,2
131,131,9350,strategy,supreme commander,Single-player,14.99,2007,2
132,132,9420,strategy,supreme commander: forged alliance,Single-player,14.99,2011,2
133,133,9450,strategy,"warhammer® 40,000: dawn of war® - soulstorm",Single-player,12.99,2008,2
134,134,9480,action,saints row 2,Single-player,9.99,2009,2
135,135,9500,indie,gish,Single-player,9.99,2004,2
136,136,9730,simulation,tycoon city: new york,Single-player,9.99,2006,1
137,137,9880,free to play,champions online,Multi-player,0.0,2009,2
138,138,9900,free to play,star trek online,Multi-player,0.0,2010,2
139,139,9930,racing,test drive unlimited 2,Single-player,19.99,2011,2
140,140,9940,action,blade kitten,Single-player,2.99,2010,1
141,141,10090,action,call of duty: world at war,Single-player,19.99,2008,2
142,142,10130,action,timeshift™,Single-player,19.99,2007,2
143,143,10140,sports,3d ultra™ minigolf adventures,Single-player,9.99,2006,0
144,144,10150,action,prototype™,Single-player,19.99,2009,1
145,145,10180,action,call of duty®: modern warfare® 2,Single-player,19.99,2009,1
146,146,10220,action,postal iii,Single-player,11.99,2011,2
147,147,10500,strategy,empire: total war™,Single-player,19.99,2009,2
148,148,10680,action,aliens vs. predator™,Single-player,14.99,2010,2
149,149,11020,racing,trackmania nations forever,Single-player,0.0,2008,2
150,150,11130,adventure,sherlock holmes: the mystery of the mummy,Single-player,0.0,2008,2
151,151,11140,adventure,sherlock holmes: the awakened - remastered edition,Single-player,9.99,2008,2
152,152,11230,casual,gumboy tournament,Single-player,2.99,2008,0
153,153,11240,action,space trader: merchant marine,Single-player,4.99,2008,2
154,154,11260,simulation,pacific storm allies,Single-player,7.99,2007,0
155,155,11280,action,penguins arena: sednas world,Single-player,5.99,2008,1
156,156,11330,casual,obulis,Single-player,4.99,2009,2
157,157,11340,action,larva mortus,Single-player,4.99,2009,2
158,158,11360,indie,chains,Single-player,4.99,2008,2
159,159,11390,action,crash time 2,Single-player,9.99,2009,0
160,160,11450,rpg,overlord™,Single-player,4.99,2007,1
161,161,11590,simulation,hospital tycoon,Single-player,4.99,2007,2
162,162,11610,action,dragon nest,Single-player,0.0,2012,2
163,163,12100,action,grand theft auto iii,Single-player,9.99,2002,1
164,164,12110,action,grand theft auto: vice city,Single-player,9.99,2003,0
165,165,12120,action,grand theft auto: san andreas,Single-player,14.99,2005,1
166,166,12130,action,manhunt,Single-player,9.99,2004,0
167,167,12140,action,max payne,Single-player,9.99,2001,0
168,168,12150,action,max payne 2: the fall of max payne,Single-player,9.99,2003,1
169,169,12160,racing,midnight club 2,Single-player,9.99,2003,2
170,170,12200,action,bully: scholarship edition,Single-player,14.99,2008,2
171,171,12220,action,grand theft auto: episodes from liberty city,Single-player,19.99,2010,2
172,172,12330,action,darkstar one,Single-player,9.99,2006,2
173,173,12360,racing,flatout: ultimate carnage,Single-player,19.99,2008,2
174,174,12430,casual,slamit pinball big score,Single-player,4.99,2009,0
175,175,12480,strategy,9th company: roots of terror,Single-player,9.99,2009,1
176,176,12500,casual,puzzlequest: challenge of the warlords,Single-player,9.99,2007,2
177,177,12590,racing,sprint cars road to knoxville,Single-player,9.99,2008,2
178,178,12810,rpg,overlord ii,Single-player,9.99,2009,0
179,179,12830,action,operation flashpoint: dragon rising,Single-player,9.99,2009,2
180,180,12900,indie,audiosurf,Single-player,9.99,2008,2
181,181,13210,action,unreal tournament 3 black,Single-player,19.99,2007,2
182,182,13230,action,unreal tournament 2004: editors choice edition,Single-player,14.99,2004,2
183,183,13250,action,unreal gold,Single-player,9.99,1998,2
184,184,13500,action,prince of persia: warrior within™,Single-player,9.99,2004,2
185,185,13520,action,far cry®,Single-player,9.99,2004,2
